test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func,w_norm
0.8807,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.886,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8902,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8866,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8957,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8883,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8863,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8845,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8934,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8928,2048,250,0.3,0.0033,0.1,true,true,softmax,0.01
0.8918,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
0.8874,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
0.8785,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
0.8939,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
0.8828,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
0.884,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
0.8817,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
0.8941,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
0.9014,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
0.8864,2048,250,0.3,0.0033,0.1,false,true,softmax,0.01
